Jan
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
41	34	26
51	38	25
56	49	42
53	47	41
52	46	39
44	40	35
48	40	32
45	43	40
60	49	37
59	49	38
51	44	37
50	40	30
49	38	27
47	36	24
43	36	29
39	35	31
54	43	32
49	44	39
54	52	49
47	45	43
50	42	34
47	43	39
57	52	46
52	46	40
50	46	42
40	36	32
41	39	37
52	45	38
50	39	27
50	40	29
62	45	27
Max	Avg	Min
32	28	24
38	30	22
39	37	35
44	41	38
42	40	38
39	37	33
39	35	30
42	39	38
48	41	36
48	43	37
43	39	35
40	33	28
38	29	25
34	27	22
33	29	25
37	33	28
44	37	32
50	42	35
52	47	41
43	41	39
41	37	34
42	38	34
50	44	40
44	40	36
41	39	34
38	35	30
38	37	36
41	37	32
37	30	26
38	31	28
45	34	25
Max	Avg	Min
96	-	76
92	-	54
83	-	47
96	-	66
100	-	82
92	-	79
100	-	70
92	-	83
93	-	55
100	-	67
100	-	74
100	-	66
100	-	61
92	-	60
85	-	62
96	-	82
100	-	64
93	-	76
96	-	77
92	-	82
100	-	61
85	-	70
89	-	62
100	-	71
89	-	71
100	-	85
100	-	86
100	-	63
96	-	56
100	-	65
100	-	48
Max	Avg	Min
8	-	0
13	-	0
13	-	5
13	-	0
36	-	0
20	-	7
12	-	0
12	-	0
26	-	0
16	-	0
10	-	0
10	-	0
12	-	0
14	-	0
13	-	0
12	-	0
26	-	0
15	-	4
17	-	0
13	-	0
8	-	0
17	-	6
23	-	0
9	-	0
14	-	0
7	-	0
13	-	0
14	-	0
9	-	0
9	-	0
10	-	0
Max	Avg	Min
30.48	-	30.32
30.32	-	30.17
30.16	-	29.9
29.95	-	29.74
29.73	-	29.2
29.88	-	29.58
30.15	-	29.92
30.03	-	29.68
30.02	-	29.69
30.13	-	30
29.99	-	29.88
30.08	-	29.92
30.16	-	30.07
30.08	-	29.91
29.91	-	29.75
29.8	-	29.48
30.11	-	29.45
30.17	-	29.93
30.24	-	30.02
30.04	-	29.86
30.51	-	30.04
30.51	-	30.34
30.51	-	30.31
30.53	-	30.42
30.51	-	30.43
30.52	-	30.36
30.39	-	30.28
30.29	-	30.09
30.13	-	30.03
30.03	-	29.92
29.94	-	29.76
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.18	-
-	0.40	-
-	0.01	-
-	0.21	-
-	0.12	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.13	-
-	0.21	-
-	0.42	-
-	0.10	-
-	0.85	-
-	0.00	-
-	0.04	-
-	0.11	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-

