Feb
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
Max	Avg	Min
53	48	43
50	48	45
47	44	41
44	40	35
41	35	29
42	37	32
34	30	26
43	37	31
41	37	33
38	34	29
46	42	38
51	48	44
45	43	40
47	43	39
47	43	39
47	42	37
47	39	31
45	38	30
44	37	29
44	41	37
47	40	33
48	38	27
46	44	41
45	41	36
36	35	33
36	33	29
38	34	29
41	34	26
Max	Avg	Min
48	45	41
46	45	44
45	39	33
33	31	26
36	32	27
31	28	25
29	27	24
37	32	28
34	32	28
34	28	22
42	38	34
42	39	34
42	40	38
42	38	36
37	36	34
37	35	32
35	32	28
34	32	28
39	34	26
38	35	30
34	31	26
39	32	25
43	41	39
41	35	30
32	31	30
31	29	27
33	28	25
33	30	23
Max	Avg	Min
96	-	74
100	-	86
93	-	65
92	-	57
92	-	79
92	-	62
92	-	82
92	-	76
96	-	70
92	-	70
89	-	82
89	-	56
89	-	83
93	-	70
85	-	65
85	-	76
96	-	58
96	-	58
92	-	70
85	-	76
96	-	53
92	-	53
93	-	86
92	-	83
89	-	82
100	-	75
96	-	85
92	-	79
Max	Avg	Min
12	-	0
17	-	0
15	-	0
16	-	0
10	-	0
10	-	0
8	-	0
8	-	0
25	-	0
17	-	4
22	-	10
24	-	0
9	-	0
26	-	0
31	-	8
23	-	4
14	-	0
7	-	0
14	-	4
14	-	0
14	-	0
17	-	5
13	-	0
20	-	0
15	-	0
18	-	0
20	-	0
13	-	4
Max	Avg	Min
29.79	-	29.66
29.68	-	29.44
29.57	-	29.44
29.74	-	29.44
30.08	-	29.74
30.35	-	30.1
30.35	-	30.25
30.24	-	29.75
29.75	-	29.5
29.98	-	29.76
29.9	-	29.84
29.84	-	29.71
29.7	-	29.38
29.44	-	29.11
29.78	-	29.47
30.02	-	29.81
30.35	-	30.03
30.47	-	30.36
30.39	-	29.98
29.97	-	29.83
30.16	-	29.93
30.18	-	30.08
30.18	-	30.02
30.01	-	29.83
29.94	-	29.64
30.01	-	29.69
30.1	-	29.69
30.12	-	30.08
Max	Avg	Min
-	0.05	-
-	0.05	-
-	0.19	-
-	0.05	-
-	0.08	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.34	-
-	0.00	-
-	0.51	-
-	0.22	-
-	0.15	-
-	0.33	-
-	0.13	-
-	0.10	-
-	0.00	-
-	0.00	-
-	1.01	-
-	0.38	-
-	0.00	-
-	0.00	-
-	0.35	-
-	1.46	-
-	1.22	-
-	0.07	-
-	0.13	-
-	0.01	-

