Mar
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
46	40	34
51	42	32
44	37	30
49	40	30
55	41	26
54	41	27
51	41	31
51	44	36
53	49	44
54	44	33
61	48	34
65	49	33
54	47	39
54	44	34
49	42	34
53	42	30
50	43	36
54	44	34
53	42	30
60	44	28
57	50	42
47	42	37
41	37	32
47	40	32
51	42	32
50	40	30
57	48	39
59	51	42
60	47	34
63	49	35
62	51	40
Max	Avg	Min
39	36	33
35	32	30
39	35	30
41	35	30
39	31	26
38	34	27
42	37	32
49	45	36
45	43	38
48	39	33
51	42	35
51	41	33
51	46	40
42	38	31
42	38	34
41	37	30
42	39	37
40	38	31
43	35	30
43	34	28
51	46	42
46	40	35
38	35	32
38	35	31
42	35	31
42	37	30
47	43	39
48	45	41
46	41	35
48	41	35
49	44	37
Max	Avg	Min
100	-	70
100	-	50
96	-	70
100	-	71
100	-	46
100	-	54
100	-	66
100	-	66
100	-	68
100	-	71
100	-	64
100	-	56
100	-	77
100	-	44
100	-	66
100	-	59
100	-	71
100	-	41
100	-	68
100	-	55
100	-	77
100	-	70
100	-	92
100	-	65
100	-	61
100	-	66
100	-	61
100	-	57
100	-	53
100	-	55
100	-	64
Max	Avg	Min
22	-	5
26	-	7
12	-	0
15	-	0
9	-	0
15	-	0
15	-	0
36	-	4
10	-	0
10	-	0
10	-	0
13	-	0
14	-	0
14	-	0
20	-	5
12	-	0
17	-	0
15	-	0
13	-	0
12	-	0
17	-	0
28	-	0
24	-	4
18	-	0
17	-	0
13	-	0
9	-	0
15	-	0
12	-	0
15	-	0
9	-	0
Max	Avg	Min
29.68	-	29.47
29.77	-	29.62
30.05	-	29.77
30.4	-	30.05
30.43	-	30.31
30.32	-	30.09
30.08	-	29.83
30	-	29.74
30.06	-	29.99
30.06	-	29.98
30.18	-	30.04
30.05	-	29.66
29.86	-	29.62
30	-	29.87
29.88	-	29.7
29.87	-	29.78
30.12	-	29.88
30.24	-	30.13
30.26	-	30.13
30.15	-	29.83
29.82	-	29.59
29.9	-	29.53
29.95	-	29.79
29.96	-	29.86
30.31	-	29.96
30.48	-	30.31
30.51	-	30.44
30.5	-	30.37
30.41	-	30.24
30.26	-	30.16
30.2	-	30.12
Max	Avg	Min
-	0.11	-
-	0.00	-
-	0.12	-
-	0.02	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.19	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.76	-
-	0.00	-
-	0.03	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.34	-
-	0.62	-
-	1.03	-
-	0.03	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
