Apr
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
50	43	35
53	43	32
53	42	30
63	54	44
54	49	43
69	61	52
58	53	47
53	50	46
62	50	38
59	54	49
56	49	42
51	44	37
56	50	44
58	52	46
53	49	45
51	45	38
54	46	38
59	49	39
64	49	33
68	52	35
61	54	46
62	49	35
73	55	36
79	58	37
78	61	44
67	57	47
55	52	48
58	51	44
57	51	45
58	51	44
Max	Avg	Min
46	41	35
38	33	23
45	36	30
50	45	40
54	47	36
56	53	52
57	47	41
47	45	41
53	43	38
51	48	44
45	42	37
45	40	37
47	43	38
46	45	43
51	44	37
42	39	37
43	41	39
44	41	39
46	39	33
49	40	29
46	41	34
44	38	35
47	41	34
55	43	34
60	50	43
54	49	46
49	47	45
50	47	44
50	45	41
46	42	39
Max	Avg	Min
100	-	74
100	-	32
100	-	54
100	-	60
100	-	56
100	-	55
100	-	55
100	-	71
100	-	67
100	-	67
100	-	51
100	-	74
83	-	66
100	-	66
100	-	80
100	-	66
100	-	63
100	-	51
100	-	43
100	-	42
93	-	36
92	-	36
92	-	38
92	-	36
93	-	40
100	-	63
100	-	77
100	-	67
100	-	57
92	-	55
Max	Avg	Min
14	-	4
12	-	0
8	-	0
14	-	0
9	-	0
12	-	0
37	-	5
26	-	0
12	-	0
25	-	0
25	-	6
26	-	0
20	-	4
18	-	4
31	-	0
25	-	5
18	-	0
12	-	0
13	-	0
15	-	0
16	-	4
20	-	0
21	-	0
15	-	0
13	-	0
22	-	6
12	-	0
14	-	0
17	-	0
17	-	0
Max	Avg	Min
30.17	-	29.93
30.2	-	30.02
30.17	-	30.02
30.1	-	29.98
30.03	-	29.86
29.87	-	29.5
29.83	-	29.46
30.35	-	29.85
30.32	-	29.86
30.04	-	29.79
30	-	29.69
30.33	-	29.88
30.43	-	30.33
30.4	-	30.05
30.03	-	29.58
30.15	-	29.79
30.34	-	30.17
30.22	-	30.08
30.28	-	30.16
30.31	-	30.19
30.42	-	30.33
30.37	-	30.2
30.23	-	30.02
30.09	-	29.93
30.06	-	29.95
30.04	-	29.9
30.07	-	29.96
30.04	-	29.96
30.18	-	30.03
30.22	-	30.15
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.31	-
-	0.06	-
-	0.62	-
-	0.14	-
-	0.00	-
-	0.10	-
-	0.21	-
-	0.14	-
-	0.00	-
-	0.00	-
-	0.64	-
-	0.04	-
-	0.07	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.36	-
-	0.16	-
-	0.20	-
-	0.00	-
