May
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
61	49	37
71	62	52
79	66	53
85	69	53
56	53	49
60	49	38
64	51	37
70	54	37
74	57	40
75	59	43
56	53	49
55	48	40
53	48	42
58	52	45
62	49	36
56	52	47
59	51	43
72	54	35
76	60	43
69	58	46
79	61	43
85	67	49
86	69	52
66	55	43
70	56	41
80	61	42
84	67	50
76	64	51
71	61	51
62	57	51
76	61	46
Max	Avg	Min
51	44	36
59	55	50
67	58	53
69	60	50
52	47	39
43	41	39
45	41	36
50	44	37
55	47	40
52	48	43
53	49	42
46	43	40
48	45	43
46	45	42
47	43	36
51	45	39
48	45	42
52	42	35
56	51	44
54	51	46
61	53	43
69	60	50
63	55	43
51	44	41
51	47	41
57	50	42
62	54	50
59	53	51
60	54	51
53	51	49
55	51	46
Max	Avg	Min
100	-	49
96	-	57
100	-	62
100	-	51
93	-	66
100	-	51
100	-	43
100	-	37
100	-	44
100	-	41
100	-	77
100	-	71
100	-	77
100	-	57
100	-	49
100	-	55
100	-	57
100	-	40
100	-	44
100	-	58
100	-	52
100	-	48
100	-	26
100	-	51
100	-	47
100	-	32
100	-	37
100	-	54
100	-	66
100	-	78
100	-	44
Max	Avg	Min
15	-	0
10	-	0
14	-	0
10	-	0
16	-	0
21	-	0
20	-	0
12	-	0
9	-	0
17	-	0
21	-	0
24	-	4
17	-	4
13	-	0
14	-	0
25	-	7
12	-	0
9	-	0
12	-	0
16	-	0
18	-	0
14	-	0
18	-	0
22	-	5
17	-	0
15	-	0
12	-	0
16	-	4
8	-	0
10	-	0
17	-	0
Max	Avg	Min
30.37	-	30.17
30.21	-	30.15
30.2	-	29.95
29.94	-	29.74
30.14	-	29.89
30.19	-	30.11
30.25	-	30.13
30.21	-	30.04
30.09	-	29.93
29.96	-	29.87
30.07	-	29.89
30.09	-	30.05
30.1	-	30.03
30.1	-	30.02
30.07	-	29.9
30.09	-	29.76
30.21	-	30.1
30.21	-	30.06
30.13	-	30.05
30.22	-	30.12
30.17	-	30.03
30.08	-	29.95
30.08	-	29.97
30.13	-	29.93
29.93	-	29.77
29.99	-	29.85
30.09	-	30
30.15	-	30.04
30.1	-	29.94
30.05	-	29.96
29.97	-	29.86
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.07	-
-	0.08	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.34	-
-	0.10	-
-	0.18	-
-	0.00	-
-	0.00	-
-	0.24	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
