Jun
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
70	64	57
75	64	53
66	60	53
68	60	51
74	56	38
82	64	45
74	61	48
62	58	54
60	55	49
57	53	48
66	56	46
61	55	48
65	57	49
67	56	44
65	59	53
67	62	57
79	66	52
82	66	50
88	72	56
80	65	50
76	62	48
82	65	48
89	70	50
96	74	51
91	73	55
73	64	55
75	65	54
75	60	45
82	63	43
81	66	50
Max	Avg	Min
56	52	49
57	51	48
54	51	48
49	46	43
52	45	38
54	50	45
56	51	46
57	52	43
51	48	45
52	48	46
51	48	46
51	48	46
50	48	46
51	48	45
60	56	50
58	56	54
55	52	44
63	55	42
68	62	57
61	56	50
53	49	44
52	48	42
55	49	43
61	54	51
60	55	49
56	54	51
56	54	52
54	51	45
56	50	44
59	55	50
Max	Avg	Min
93	-	51
83	-	43
93	-	67
89	-	42
100	-	31
100	-	33
100	-	41
100	-	51
96	-	57
100	-	72
100	-	52
100	-	64
100	-	56
100	-	48
100	-	78
100	-	68
100	-	31
86	-	47
100	-	43
100	-	49
93	-	35
93	-	28
74	-	24
86	-	24
93	-	24
93	-	57
100	-	46
100	-	46
100	-	33
100	-	49
Max	Avg	Min
17	-	4
10	-	0
12	-	0
14	-	0
15	-	0
17	-	0
13	-	0
22	-	0
28	-	4
17	-	0
15	-	0
18	-	0
14	-	0
10	-	0
22	-	0
14	-	0
13	-	0
17	-	0
13	-	0
17	-	0
21	-	7
24	-	0
23	-	4
18	-	0
23	-	0
21	-	5
10	-	0
13	-	0
16	-	0
18	-	0
Max	Avg	Min
30.08	-	29.92
30.12	-	29.95
30.1	-	30.02
30.17	-	30.05
30.17	-	29.98
29.98	-	29.9
29.92	-	29.73
30	-	29.69
29.98	-	29.9
30.01	-	29.87
30.07	-	29.99
30.22	-	30.05
30.22	-	30.14
30.15	-	30.04
30.07	-	29.98
30.17	-	30.06
30.17	-	30.12
30.17	-	29.99
30.06	-	29.95
30.19	-	30.06
30.28	-	30.15
30.21	-	30.07
30.11	-	29.97
30.01	-	29.85
29.97	-	29.86
30.06	-	29.96
30.06	-	29.96
30.1	-	30.01
30.14	-	30.03
30.08	-	29.99
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.44	-
-	0.15	-
-	0.27	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.14	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
