Jul
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
75	65	55
85	65	45
79	65	50
86	68	50
86	69	51
87	69	50
79	66	53
88	69	50
87	68	48
83	69	54
82	65	48
86	67	48
76	63	50
87	66	45
84	66	48
77	62	46
82	65	48
85	66	47
81	65	49
78	65	52
84	65	46
91	71	51
89	74	59
89	70	51
91	71	50
90	73	56
80	66	52
85	67	49
89	68	46
90	73	56
94	74	54
Max	Avg	Min
58	55	53
58	51	45
55	51	45
53	49	40
57	54	50
59	55	50
54	51	50
55	51	44
58	52	46
58	52	45
52	46	39
55	51	46
54	52	50
56	51	43
67	50	45
51	46	42
52	47	41
54	49	45
53	50	48
57	53	50
55	51	42
62	56	49
62	59	54
55	51	47
59	53	46
56	54	49
57	55	52
55	51	44
54	48	37
57	54	51
56	50	43
Max	Avg	Min
100	-	57
100	-	27
100	-	32
93	-	22
100	-	37
100	-	40
93	-	39
96	-	22
89	-	29
100	-	30
86	-	25
100	-	27
96	-	46
100	-	24
86	-	35
100	-	31
93	-	23
93	-	33
100	-	33
100	-	40
100	-	26
93	-	32
97	-	34
89	-	23
100	-	23
93	-	24
100	-	42
100	-	25
100	-	17
80	-	27
78	-	17
Max	Avg	Min
13	-	0
16	-	0
21	-	0
14	-	0
22	-	0
7	-	0
17	-	0
17	-	0
16	-	0
17	-	0
17	-	0
15	-	0
14	-	0
12	-	0
14	-	0
18	-	0
20	-	0
17	-	0
17	-	0
12	-	0
14	-	0
22	-	0
25	-	0
21	-	0
17	-	0
16	-	0
17	-	0
17	-	0
20	-	0
23	-	0
21	-	7
Max	Avg	Min
30.11	-	30.03
30.09	-	30
30.18	-	30.03
30.05	-	29.91
30.12	-	29.94
30.16	-	30.02
30.27	-	30.12
30.14	-	29.99
30.13	-	29.98
30.08	-	30
30.13	-	29.97
30.08	-	29.94
30.15	-	30.05
30.14	-	30.04
30.24	-	30.15
30.28	-	30.09
30.1	-	29.96
30.1	-	29.99
30.14	-	30.03
30.19	-	30.1
30.17	-	30.08
30.18	-	29.99
30.03	-	29.88
29.98	-	29.84
30.01	-	29.93
30.09	-	29.99
30.15	-	30.02
30.11	-	30
30.15	-	30.08
30.25	-	30.12
30.19	-	30.02
Max	Avg	Min
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
