Aug
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
91	70	48
78	68	57
81	68	54
88	70	51
89	70	51
89	73	56
94	75	55
96	78	59
97	77	56
91	75	59
81	71	60
84	67	50
87	70	53
93	75	57
85	71	57
82	70	58
84	64	44
89	69	48
90	70	49
82	68	54
94	73	52
93	74	55
70	64	57
76	66	55
77	61	45
75	66	56
80	71	61
90	69	48
85	68	50
72	63	54
79	65	51
Max	Avg	Min
59	54	47
54	52	51
55	53	51
58	52	48
61	54	49
61	56	53
59	56	53
63	57	54
63	56	52
55	54	52
56	54	51
55	52	48
61	54	50
63	55	46
61	57	54
61	56	52
51	44	31
50	47	43
55	51	43
55	54	50
55	50	46
55	51	48
53	52	51
52	47	44
48	46	43
54	50	48
56	53	47
52	44	38
54	49	42
55	52	51
53	51	47
Max	Avg	Min
93	-	29
80	-	43
86	-	39
93	-	29
89	-	28
93	-	29
93	-	28
84	-	28
86	-	23
80	-	29
78	-	36
100	-	31
93	-	28
86	-	20
90	-	47
93	-	42
93	-	15
86	-	22
77	-	26
93	-	40
93	-	22
77	-	24
86	-	53
77	-	33
93	-	31
80	-	38
84	-	35
86	-	16
74	-	27
86	-	49
93	-	32
Max	Avg	Min
12	-	0
14	-	0
15	-	0
16	-	0
14	-	0
12	-	0
16	-	0
14	-	0
14	-	0
24	-	7
14	-	4
22	-	4
14	-	0
13	-	0
18	-	6
15	-	0
15	-	0
18	-	0
13	-	0
15	-	0
22	-	0
18	-	0
13	-	0
16	-	0
13	-	0
12	-	0
24	-	0
20	-	0
18	-	0
13	-	4
17	-	0
Max	Avg	Min
30.08	-	29.94
30.12	-	30.04
30.15	-	30.05
30.05	-	29.91
30.05	-	29.94
30.13	-	30.01
30.05	-	29.84
29.96	-	29.88
30	-	29.86
30.09	-	29.93
30.14	-	30.08
30.16	-	29.99
30.03	-	29.88
29.91	-	29.79
29.98	-	29.88
30.16	-	29.99
30.25	-	30.14
30.23	-	30.05
30.1	-	29.96
30.04	-	29.92
29.98	-	29.87
30.02	-	29.91
30.1	-	30.03
30.14	-	30.04
30.11	-	30.02
30.12	-	30.02
30.07	-	29.99
30.02	-	29.89
29.99	-	29.88
30.11	-	30
30.19	-	30.06
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
