Sep
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
92	72	52
91	72	52
96	76	55
90	73	56
81	72	63
81	70	58
82	72	62
70	65	60
81	71	60
82	71	59
90	70	49
91	71	50
78	62	46
76	63	49
80	62	43
76	61	46
66	58	49
65	58	51
62	56	50
63	57	51
61	51	41
67	54	40
71	57	43
73	57	40
73	61	49
78	63	48
87	66	45
85	67	48
67	62	56
60	51	41
Max	Avg	Min
55	50	45
59	53	46
63	58	52
61	58	54
61	58	55
65	60	55
67	63	59
63	61	59
62	57	49
61	53	41
52	48	43
59	50	45
47	40	25
47	43	38
45	40	34
50	42	35
57	53	48
54	51	47
54	52	49
54	50	44
49	47	43
51	45	39
49	46	42
52	46	40
55	51	48
57	53	48
55	52	48
54	51	47
60	55	48
54	49	42
Max	Avg	Min
93	-	20
83	-	26
93	-	28
93	-	34
87	-	42
97	-	51
100	-	54
100	-	73
93	-	33
100	-	25
83	-	19
83	-	26
93	-	14
77	-	31
92	-	19
83	-	27
93	-	56
100	-	52
100	-	80
100	-	52
100	-	60
100	-	42
100	-	37
100	-	33
100	-	47
100	-	47
100	-	27
100	-	31
100	-	63
100	-	77
Max	Avg	Min
18	-	0
10	-	0
7	-	0
15	-	0
15	-	5
14	-	0
21	-	0
8	-	0
18	-	4
23	-	5
21	-	0
15	-	0
16	-	0
15	-	0
15	-	0
9	-	0
20	-	5
24	-	5
22	-	6
21	-	4
12	-	0
14	-	0
12	-	0
16	-	0
8	-	0
18	-	0
14	-	0
14	-	0
15	-	0
14	-	0
Max	Avg	Min
30.09	-	29.9
29.97	-	29.86
30	-	29.91
30	-	29.8
30.01	-	29.86
30.01	-	29.87
29.97	-	29.84
30.02	-	29.95
30.17	-	30.02
30.26	-	30.13
30.12	-	29.91
30	-	29.88
30	-	29.86
30.01	-	29.9
30.1	-	30
30.01	-	29.9
29.98	-	29.87
29.91	-	29.87
29.95	-	29.75
29.9	-	29.71
30.01	-	29.91
30.09	-	30.01
30.13	-	30.06
30.17	-	30.08
30.15	-	30.07
30.14	-	30
30.02	-	29.89
29.97	-	29.88
30.14	-	29.97
30.22	-	30.14
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.09	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.11	-
-	0.17	-
-	0.14	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.11	-
-	0.02	-
