Oct
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
76	68	59
78	66	54
70	53	35
67	57	46
56	48	39
63	59	55
61	51	41
66	60	53
67	60	52
66	52	38
71	53	34
73	54	35
73	55	37
76	55	33
74	52	29
78	55	32
77	57	36
77	56	34
74	54	33
72	53	34
73	54	34
71	53	34
59	51	42
65	55	45
61	52	43
65	62	58
69	59	49
64	57	50
60	54	47
57	49	40
58	55	51
Max	Avg	Min
53	51	50
53	49	40
44	39	34
44	40	36
53	45	35
54	52	47
52	46	40
60	55	52
55	48	42
50	44	38
44	38	33
44	39	33
47	41	35
34	26	20
33	29	24
39	34	29
39	35	32
41	37	31
45	39	28
46	40	30
46	40	31
48	39	31
51	47	41
50	47	42
50	46	41
60	54	47
59	54	48
55	49	44
52	47	42
48	43	38
54	51	47
Max	Avg	Min
78	-	44
80	-	43
93	-	34
77	-	34
86	-	76
93	-	65
100	-	53
100	-	78
96	-	42
100	-	48
100	-	26
92	-	25
93	-	27
69	-	13
78	-	19
89	-	24
85	-	20
85	-	25
85	-	33
93	-	37
92	-	38
100	-	41
96	-	62
100	-	56
92	-	55
93	-	60
93	-	68
93	-	52
93	-	67
100	-	77
89	-	80
Max	Avg	Min
13	-	4
18	-	0
10	-	0
9	-	0
24	-	4
16	-	0
10	-	0
10	-	5
22	-	0
15	-	0
18	-	0
18	-	0
24	-	0
21	-	0
13	-	0
14	-	0
12	-	0
8	-	0
13	-	0
14	-	0
8	-	0
8	-	0
17	-	0
12	-	0
9	-	0
17	-	0
18	-	0
21	-	4
13	-	0
7	-	0
17	-	6
Max	Avg	Min
29.86	-	29.82
29.96	-	29.8
29.99	-	29.87
30.14	-	29.91
30.15	-	29.9
30.22	-	29.9
30.25	-	30.12
30.12	-	29.96
30.02	-	29.92
30.04	-	29.95
30.09	-	29.99
30.14	-	30
30.17	-	30.06
30.24	-	30.14
30.3	-	30.19
30.27	-	30.13
30.18	-	30.05
30.21	-	30.12
30.28	-	30.17
30.18	-	29.96
30.03	-	29.94
29.99	-	29.86
30.09	-	29.9
30.15	-	30.06
30.19	-	30.05
30.15	-	30.07
30.11	-	29.82
30.12	-	29.89
30.34	-	30.13
30.39	-	30.27
30.28	-	30.23
Max	Avg	Min
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.09	-
-	0.02	-
-	0.00	-
-	0.03	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.06	-
-	0.00	-
-	0.17	-
-	0.52	-
-	0.00	-
-	0.04	-
