Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
63	54	45
70	60	49
64	53	42
71	55	39
56	53	50
62	54	45
62	55	47
67	56	44
67	58	48
60	54	47
61	56	50
61	54	47
61	53	45
58	56	54
59	50	41
51	46	40
55	46	36
45	41	37
63	54	44
56	52	48
56	48	40
53	47	40
49	46	43
54	52	49
54	49	43
56	48	39
49	44	39
52	48	43
51	43	35
51	45	38
Max	Avg	Min
48	45	43
50	45	43
52	47	41
53	44	38
53	49	45
49	47	43
53	48	45
54	47	43
55	51	46
53	48	46
53	50	48
54	50	45
52	47	43
55	52	48
55	47	38
43	41	38
42	38	35
41	39	36
45	42	40
48	46	41
47	43	39
46	41	38
43	40	37
46	40	35
49	45	43
45	41	38
44	40	37
44	42	40
42	39	34
43	41	37
Max	Avg	Min
93	-	48
86	-	40
96	-	63
100	-	53
93	-	71
93	-	60
93	-	72
100	-	63
96	-	63
100	-	78
100	-	78
93	-	67
93	-	62
93	-	77
89	-	72
89	-	71
92	-	51
92	-	82
92	-	49
86	-	59
93	-	61
93	-	63
89	-	66
93	-	54
93	-	80
100	-	59
92	-	76
89	-	71
100	-	63
92	-	68
Max	Avg	Min
18	-	4
15	-	0
10	-	0
9	-	0
13	-	5
16	-	4
9	-	0
9	-	0
14	-	0
7	-	0
10	-	0
22	-	0
13	-	0
14	-	4
23	-	7
12	-	0
9	-	0
10	-	0
24	-	0
24	-	0
13	-	4
20	-	4
21	-	8
35	-	8
15	-	0
24	-	0
21	-	6
15	-	0
14	-	4
14	-	5
Max	Avg	Min
30.09	-	29.88
30.21	-	29.99
30.29	-	30.1
30.12	-	30.01
30.02	-	29.88
30.08	-	30
30.14	-	30.06
30.14	-	30.07
30.22	-	30.09
30.1	-	30.04
30.04	-	29.85
30.22	-	29.9
30.22	-	30.12
30.12	-	29.88
30.09	-	29.86
30.16	-	30.07
30.2	-	30.09
30.08	-	29.68
29.73	-	29.66
29.93	-	29.73
30.12	-	29.92
30.1	-	29.89
30.2	-	29.98
30.14	-	29.82
29.91	-	29.71
29.71	-	29.45
30.01	-	29.73
30.22	-	29.88
30.23	-	30.01
30.3	-	30.04
Max	Avg	Min
-	0.00	-
-	0.01	-
-	0.00	-
-	0.00	-
-	0.81	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.05	-
-	0.01	-
-	0.13	-
-	0.61	-
-	0.36	-
-	0.03	-
-	0.00	-
-	0.01	-
-	0.02	-
-	0.21	-
-	0.04	-
-	0.28	-
-	0.20	-
-	0.36	-
-	0.73	-
-	0.14	-
-	0.11	-
-	0.06	-
-	0.10	-
-	0.03	-
