Dec
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
Max	Avg	Min
48	43	37
48	41	33
53	45	36
46	39	32
43	37	31
38	36	33
35	31	27
36	32	28
49	43	36
50	46	41
47	45	42
48	39	29
38	34	30
34	32	30
0	0	0
0	0	0
34	31	28
31	29	26
45	38	30
51	40	28
33	31	29
45	38	30
45	40	35
44	35	26
44	35	25
43	33	23
47	44	40
41	36	30
53	43	33
47	39	31
36	33	29
Max	Avg	Min
42	39	36
41	36	32
44	40	35
43	37	31
37	34	30
35	33	31
32	28	23
34	30	23
45	41	34
44	40	37
40	39	38
40	34	28
33	31	28
30	28	26
0	0	0
0	0	0
32	28	26
29	27	23
39	34	28
46	38	26
32	30	27
39	32	28
43	39	33
36	32	25
33	27	23
35	27	21
42	39	35
38	34	29
39	35	32
40	36	29
32	31	29
Max	Avg	Min
93	-	76
100	-	76
96	-	71
96	-	82
96	-	76
92	-	82
100	-	78
96	-	78
93	-	80
96	-	71
89	-	76
96	-	65
100	-	82
92	-	75
0	-	0
0	-	0
100	-	85
100	-	85
100	-	83
100	-	66
100	-	89
100	-	76
96	-	82
100	-	70
92	-	67
100	-	62
89	-	76
100	-	85
100	-	59
93	-	65
96	-	82
Max	Avg	Min
10	-	0
15	-	5
16	-	4
16	-	0
17	-	0
16	-	0
16	-	0
14	-	0
18	-	0
17	-	4
17	-	6
12	-	0
13	-	0
22	-	4
5	-	0
4	-	0
7	-	0
9	-	0
16	-	0
21	-	0
8	-	0
15	-	0
18	-	0
10	-	0
9	-	0
23	-	4
26	-	0
14	-	0
10	-	0
23	-	0
16	-	0
Max	Avg	Min
30.42	-	30.3
30.42	-	30.29
30.46	-	30.22
30.29	-	30.06
30.28	-	30.05
30.33	-	29.99
30.34	-	30.06
30.04	-	29.83
30.07	-	29.91
30.09	-	29.9
30.12	-	30.07
30.29	-	30.12
30.25	-	30.13
30.13	-	29.77
29.92	-	29.84
30.31	-	29.86
30.53	-	30.32
30.58	-	30.43
30.44	-	30.21
30.53	-	30.2
30.51	-	30.15
30.14	-	29.66
29.86	-	29.58
30.04	-	29.88
30.26	-	30.02
30.34	-	30.2
30.42	-	30.13
30.5	-	30.35
30.33	-	30.23
30.28	-	30.23
30.22	-	29.97
Max	Avg	Min
-	0.02	-
-	0.03	-
-	0.00	-
-	0.50	-
-	0.21	-
-	0.11	-
-	0.00	-
-	0.54	-
-	0.32	-
-	0.33	-
-	0.71	-
-	0.00	-
-	0.00	-
-	1.45	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.12	-
-	0.37	-
-	0.00	-
-	0.00	-
-	0.17	-
-	0.01	-
-	0.00	-
-	0.08	-
-	0.07	-
-	0.00	-
-	0.00	-
-	0.06	-
-	0.00	-
